# Forces     
# CofR       : (4.974613e-01 -1.671896e-02 1.250000e-01)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
1720         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214575e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1730         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214574e-18 -3.297580e+01) (6.117812e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1740         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214574e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633407e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1750         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214574e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1760         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214573e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1770         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214573e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1780         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214573e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1790         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214573e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1800         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214572e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1810         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217049e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214572e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1820         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214572e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1830         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214572e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1840         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214572e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1850         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214571e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1860         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214571e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1870         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214571e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1880         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214571e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1890         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214571e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1900         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214571e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1910         	((5.603463e+00 2.447007e+02 2.792521e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214570e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1920         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214570e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1930         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214570e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1940         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214570e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1950         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214570e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1960         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214570e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1970         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214570e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1980         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214570e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
1990         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2000         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2010         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2020         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865671e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2030         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2040         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2050         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2060         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2070         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2080         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2090         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2100         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2110         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2120         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214569e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2130         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2140         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2150         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2160         	((5.603463e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2170         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2180         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2190         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2200         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2210         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2220         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2230         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2240         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2250         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2260         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2270         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2280         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2290         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2300         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2310         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2320         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2330         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2340         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2350         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2360         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2370         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2380         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2390         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2400         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2410         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2420         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2430         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2440         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2450         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2460         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2470         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2480         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2490         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2500         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2510         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2520         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2530         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2540         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2550         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214567e-18 -3.297580e+01) (6.117813e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
2560         	((5.603462e+00 2.447007e+02 2.792520e-18) (1.599603e+00 -1.865672e-02 8.217050e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464473e-15 -6.214568e-18 -3.297580e+01) (6.117814e-20 -9.839399e-18 -9.633408e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
