# Forces     
# CofR       : (4.974613e-01 -1.671896e-02 1.250000e-01)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
530          	((5.633615e+00 2.440208e+02 2.839492e-18) (1.599264e+00 -1.858934e-02 8.156317e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.460574e-15 -6.501187e-18 -3.286969e+01) (6.060929e-20 -9.842916e-18 -9.606777e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
540          	((5.630190e+00 2.441024e+02 2.833992e-18) (1.599304e+00 -1.859718e-02 8.163540e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.461042e-15 -6.467908e-18 -3.288210e+01) (6.067833e-20 -9.842495e-18 -9.609909e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
550          	((5.627089e+00 2.441738e+02 2.829093e-18) (1.599337e+00 -1.860358e-02 8.169932e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.461453e-15 -6.438133e-18 -3.289313e+01) (6.074031e-20 -9.842127e-18 -9.612660e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
560          	((5.624299e+00 2.442364e+02 2.824751e-18) (1.599367e+00 -1.860897e-02 8.175536e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.461811e-15 -6.411629e-18 -3.290288e+01) (6.079493e-20 -9.841806e-18 -9.615079e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
570          	((5.621810e+00 2.442911e+02 2.820918e-18) (1.599392e+00 -1.861370e-02 8.180461e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.462125e-15 -6.388161e-18 -3.291150e+01) (6.084268e-20 -9.841524e-18 -9.617209e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
580          	((5.619605e+00 2.443390e+02 2.817544e-18) (1.599415e+00 -1.861797e-02 8.184785e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.462400e-15 -6.367467e-18 -3.291910e+01) (6.088418e-20 -9.841276e-18 -9.619089e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
590          	((5.617663e+00 2.443811e+02 2.814580e-18) (1.599435e+00 -1.862191e-02 8.188581e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.462641e-15 -6.349273e-18 -3.292578e+01) (6.092011e-20 -9.841058e-18 -9.620750e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
600          	((5.615959e+00 2.444182e+02 2.811978e-18) (1.599454e+00 -1.862558e-02 8.191915e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.462853e-15 -6.333303e-18 -3.293167e+01) (6.095117e-20 -9.840866e-18 -9.622219e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
610          	((5.614468e+00 2.444509e+02 2.809693e-18) (1.599471e+00 -1.862900e-02 8.194846e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.463040e-15 -6.319293e-18 -3.293685e+01) (6.097807e-20 -9.840695e-18 -9.623520e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
620          	((5.613164e+00 2.444798e+02 2.807685e-18) (1.599486e+00 -1.863215e-02 8.197427e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.463206e-15 -6.307000e-18 -3.294141e+01) (6.100146e-20 -9.840544e-18 -9.624672e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
630          	((5.612024e+00 2.445053e+02 2.805919e-18) (1.599500e+00 -1.863504e-02 8.199704e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.463352e-15 -6.296202e-18 -3.294542e+01) (6.102189e-20 -9.840410e-18 -9.625692e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
640          	((5.611025e+00 2.445280e+02 2.804362e-18) (1.599512e+00 -1.863764e-02 8.201716e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.463482e-15 -6.286702e-18 -3.294897e+01) (6.103984e-20 -9.840292e-18 -9.626594e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
650          	((5.610147e+00 2.445481e+02 2.802987e-18) (1.599523e+00 -1.863996e-02 8.203495e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.463598e-15 -6.278330e-18 -3.295209e+01) (6.105570e-20 -9.840187e-18 -9.627392e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
660          	((5.609375e+00 2.445659e+02 2.801773e-18) (1.599532e+00 -1.864201e-02 8.205070e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.463700e-15 -6.270939e-18 -3.295485e+01) (6.106977e-20 -9.840094e-18 -9.628097e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
670          	((5.608692e+00 2.445817e+02 2.800698e-18) (1.599541e+00 -1.864379e-02 8.206464e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.463791e-15 -6.264402e-18 -3.295729e+01) (6.108228e-20 -9.840012e-18 -9.628719e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
680          	((5.608088e+00 2.445956e+02 2.799747e-18) (1.599548e+00 -1.864535e-02 8.207699e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.463871e-15 -6.258616e-18 -3.295945e+01) (6.109342e-20 -9.839939e-18 -9.629268e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
690          	((5.607553e+00 2.446080e+02 2.798904e-18) (1.599554e+00 -1.864669e-02 8.208792e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.463941e-15 -6.253492e-18 -3.296136e+01) (6.110334e-20 -9.839875e-18 -9.629752e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
700          	((5.607078e+00 2.446189e+02 2.798159e-18) (1.599560e+00 -1.864786e-02 8.209758e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464004e-15 -6.248953e-18 -3.296305e+01) (6.111216e-20 -9.839819e-18 -9.630180e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
710          	((5.606657e+00 2.446285e+02 2.797499e-18) (1.599565e+00 -1.864887e-02 8.210613e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464059e-15 -6.244934e-18 -3.296454e+01) (6.111999e-20 -9.839769e-18 -9.630556e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
720          	((5.606283e+00 2.446369e+02 2.796916e-18) (1.599569e+00 -1.864976e-02 8.211368e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464108e-15 -6.241379e-18 -3.296586e+01) (6.112692e-20 -9.839726e-18 -9.630889e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
